"PID","Attention_Check","Score","Item","Trait","Order"
56,"8",7,"the factory robot","trust","8"
56,"8",7,"the factory robot","reliable","11"
56,"8",4,"the factory robot","good-intentions","16"
56,"8",7,"the Instagram filter","trust","15"
56,"8",7,"the Instagram filter","reliable","10"
56,"8",3,"the Instagram filter","good-intentions","14"
56,"8",7,"Apple’s Siri","trust","17"
56,"8",7,"Apple’s Siri","reliable","12"
56,"8",7,"Apple’s Siri","good-intentions","3"
57,"8",7,"Apple’s Siri","trust","17"
57,"8",7,"Apple’s Siri","reliable","15"
57,"8",1,"Apple’s Siri","good-intentions","4"
57,"8",7,"the Artificial Moral Advisor","trust","2"
57,"8",7,"the Artificial Moral Advisor","reliable","6"
57,"8",1,"the Artificial Moral Advisor","good-intentions","18"
57,"8",7,"Amazon Alexa","trust","12"
57,"8",7,"Amazon Alexa","reliable","11"
57,"8",1,"Amazon Alexa","good-intentions","5"
57,"8",7,"the smart watch","trust","16"
57,"8",7,"the smart watch","reliable","8"
57,"8",5,"the smart watch","good-intentions","1"
57,"8",7,"the robot vacuum","trust","3"
57,"8",7,"the robot vacuum","reliable","14"
57,"8",1,"the robot vacuum","good-intentions","7"
57,"8",7,"the spam filter","trust","13"
57,"8",7,"the spam filter","reliable","9"
57,"8",1,"the spam filter","good-intentions","10"
58,"3",7,"Apple’s Siri","trust","8"
58,"3",7,"Apple’s Siri","reliable","4"
58,"3",7,"Apple’s Siri","good-intentions","3"
58,"3",6,"Amazon Alexa","trust","11"
58,"3",6,"Amazon Alexa","reliable","17"
58,"3",6,"Amazon Alexa","good-intentions","6"
58,"3",7,"the AI photo editing tool","trust","1"
58,"3",7,"the AI photo editing tool","reliable","12"
58,"3",4,"the AI photo editing tool","good-intentions","15"
58,"3",6,"the smart watch","trust","10"
58,"3",6,"the smart watch","reliable","5"
58,"3",6,"the smart watch","good-intentions","18"
58,"3",5,"the audio transcription AI","trust","16"
58,"3",6,"the audio transcription AI","reliable","7"
58,"3",6,"the audio transcription AI","good-intentions","13"
58,"3",6,"Microsoft Copilot","trust","14"
58,"3",7,"Microsoft Copilot","reliable","9"
58,"3",6,"Microsoft Copilot","good-intentions","2"
59,"8",7,"the autonomous killer drone","trust","18"
59,"8",7,"the autonomous killer drone","reliable","12"
59,"8",6,"the autonomous killer drone","good-intentions","8"
59,"8",7,"the spam filter","trust","6"
59,"8",7,"the spam filter","reliable","11"
59,"8",6,"the spam filter","good-intentions","9"
59,"8",7,"ChatGPT","trust","7"
59,"8",7,"ChatGPT","reliable","2"
59,"8",7,"ChatGPT","good-intentions","14"
59,"8",7,"Amazon Alexa","trust","5"
59,"8",7,"Amazon Alexa","reliable","13"
59,"8",6,"Amazon Alexa","good-intentions","3"
59,"8",7,"Microsoft Copilot","trust","17"
59,"8",7,"Microsoft Copilot","reliable","15"
59,"8",7,"Microsoft Copilot","good-intentions","1"
59,"8",5,"Google's AI Overviews","trust","10"
59,"8",1,"Google's AI Overviews","reliable","16"
59,"8",5,"Google's AI Overviews","good-intentions","4"
60,"8",7,"DALL-E","trust","2"
60,"8",7,"DALL-E","reliable","10"
60,"8",7,"DALL-E","good-intentions","6"
60,"8",7,"the predictive sentencing algorithm","trust","15"
60,"8",7,"the predictive sentencing algorithm","reliable","4"
60,"8",7,"the predictive sentencing algorithm","good-intentions","1"
60,"8",7,"the Artificial Moral Advisor","trust","16"
60,"8",7,"the Artificial Moral Advisor","reliable","18"
60,"8",7,"the Artificial Moral Advisor","good-intentions","8"
60,"8",7,"the spam filter","trust","11"
60,"8",7,"the spam filter","reliable","14"
60,"8",7,"the spam filter","good-intentions","7"
60,"8",7,"the AI photo editing tool","trust","5"
60,"8",7,"the AI photo editing tool","reliable","9"
60,"8",7,"the AI photo editing tool","good-intentions","13"
60,"8",7,"the audio transcription AI","trust","3"
60,"8",7,"the audio transcription AI","reliable","17"
60,"8",7,"the audio transcription AI","good-intentions","12"
61,"8",5,"Amazon Alexa","trust","10"
61,"8",5,"Amazon Alexa","reliable","14"
61,"8",5,"Amazon Alexa","good-intentions","15"
61,"8",5,"the AI photo editing tool","trust","16"
61,"8",6,"the AI photo editing tool","reliable","6"
61,"8",3,"the AI photo editing tool","good-intentions","4"
61,"8",5,"the predictive sentencing algorithm","trust","7"
61,"8",6,"the predictive sentencing algorithm","reliable","11"
61,"8",2,"the predictive sentencing algorithm","good-intentions","13"
61,"8",2,"the Instagram filter","trust","12"
61,"8",5,"the Instagram filter","reliable","2"
61,"8",2,"the Instagram filter","good-intentions","8"
61,"8",6,"the spam filter","trust","3"
61,"8",7,"the spam filter","reliable","1"
61,"8",2,"the spam filter","good-intentions","9"
61,"8",6,"the AI therapist","trust","18"
61,"8",6,"the AI therapist","reliable","17"
61,"8",5,"the AI therapist","good-intentions","5"
62,"8",4,"the Instagram filter","trust","13"
62,"8",4,"the Instagram filter","reliable","2"
62,"8",4,"the Instagram filter","good-intentions","14"
62,"8",5,"the predictive sentencing algorithm","trust","9"
62,"8",5,"the predictive sentencing algorithm","reliable","12"
62,"8",5,"the predictive sentencing algorithm","good-intentions","5"
62,"8",2,"the self-driving car","trust","11"
62,"8",3,"the self-driving car","reliable","6"
62,"8",3,"the self-driving car","good-intentions","18"
62,"8",4,"Apple’s Siri","trust","1"
62,"8",4,"Apple’s Siri","reliable","17"
62,"8",4,"Apple’s Siri","good-intentions","10"
62,"8",5,"ChatGPT","trust","7"
62,"8",5,"ChatGPT","reliable","3"
62,"8",5,"ChatGPT","good-intentions","16"
62,"8",5,"Microsoft Copilot","trust","8"
62,"8",5,"Microsoft Copilot","reliable","15"
62,"8",5,"Microsoft Copilot","good-intentions","4"
63,"8",7,"ChatGPT","trust","11"
63,"8",7,"ChatGPT","reliable","12"
63,"8",7,"ChatGPT","good-intentions","2"
63,"8",3,"the Instagram filter","trust","7"
63,"8",4,"the Instagram filter","reliable","1"
63,"8",1,"the Instagram filter","good-intentions","13"
63,"8",6,"the predictive sentencing algorithm","trust","18"
63,"8",7,"the predictive sentencing algorithm","reliable","17"
63,"8",2,"the predictive sentencing algorithm","good-intentions","15"
63,"8",7,"the predictive policing algorithm","trust","10"
63,"8",6,"the predictive policing algorithm","reliable","9"
63,"8",3,"the predictive policing algorithm","good-intentions","8"
63,"8",6,"the AI photo editing tool","trust","14"
63,"8",4,"the AI photo editing tool","reliable","16"
63,"8",4,"the AI photo editing tool","good-intentions","6"
63,"8",5,"the smart watch","trust","4"
63,"8",5,"the smart watch","reliable","3"
63,"8",3,"the smart watch","good-intentions","5"
64,"8",6,"the smart watch","trust","13"
64,"8",6,"the smart watch","reliable","7"
64,"8",2,"the smart watch","good-intentions","9"
64,"8",6,"the spam filter","trust","16"
64,"8",7,"the spam filter","reliable","2"
64,"8",2,"the spam filter","good-intentions","18"
64,"8",6,"the predictive sentencing algorithm","trust","1"
64,"8",6,"the predictive sentencing algorithm","reliable","10"
64,"8",3,"the predictive sentencing algorithm","good-intentions","6"
64,"8",6,"the factory robot","trust","3"
64,"8",6,"the factory robot","reliable","4"
64,"8",2,"the factory robot","good-intentions","15"
64,"8",6,"DALL-E","trust","5"
64,"8",6,"DALL-E","reliable","8"
64,"8",2,"DALL-E","good-intentions","17"
64,"8",6,"the Artificial Moral Advisor","trust","12"
64,"8",6,"the Artificial Moral Advisor","reliable","14"
64,"8",3,"the Artificial Moral Advisor","good-intentions","11"
65,"8",4,"the AI therapist","trust","9"
65,"8",7,"the AI therapist","reliable","1"
65,"8",4,"the AI therapist","good-intentions","4"
65,"8",5,"the audio transcription AI","trust","16"
65,"8",6,"the audio transcription AI","reliable","7"
65,"8",3,"the audio transcription AI","good-intentions","2"
65,"8",4,"the Artificial Moral Advisor","trust","3"
65,"8",5,"the Artificial Moral Advisor","reliable","12"
65,"8",2,"the Artificial Moral Advisor","good-intentions","6"
65,"8",5,"Apple’s Siri","trust","11"
65,"8",5,"Apple’s Siri","reliable","8"
65,"8",2,"Apple’s Siri","good-intentions","18"
65,"8",5,"Amazon Alexa","trust","10"
65,"8",6,"Amazon Alexa","reliable","13"
65,"8",2,"Amazon Alexa","good-intentions","14"
65,"8",6,"the factory robot","trust","15"
65,"8",5,"the factory robot","reliable","17"
65,"8",2,"the factory robot","good-intentions","5"
66,"8",7,"the Artificial Moral Advisor","trust","7"
66,"8",7,"the Artificial Moral Advisor","reliable","8"
66,"8",1,"the Artificial Moral Advisor","good-intentions","11"
66,"8",7,"ChatGPT","trust","3"
66,"8",7,"ChatGPT","reliable","15"
66,"8",1,"ChatGPT","good-intentions","6"
66,"8",7,"the predictive policing algorithm","trust","16"
66,"8",7,"the predictive policing algorithm","reliable","5"
66,"8",1,"the predictive policing algorithm","good-intentions","4"
66,"8",4,"the Instagram filter","trust","17"
66,"8",7,"the Instagram filter","reliable","9"
66,"8",1,"the Instagram filter","good-intentions","13"
66,"8",7,"the predictive sentencing algorithm","trust","14"
66,"8",7,"the predictive sentencing algorithm","reliable","1"
66,"8",1,"the predictive sentencing algorithm","good-intentions","2"
66,"8",6,"the autonomous killer drone","trust","18"
66,"8",7,"the autonomous killer drone","reliable","10"
66,"8",1,"the autonomous killer drone","good-intentions","12"
67,"8",7,"the audio transcription AI","trust","8"
67,"8",5,"the audio transcription AI","reliable","4"
67,"8",2,"the audio transcription AI","good-intentions","13"
67,"8",1,"the autonomous killer drone","trust","10"
67,"8",1,"the autonomous killer drone","reliable","14"
67,"8",1,"the autonomous killer drone","good-intentions","7"
67,"8",6,"the spam filter","trust","9"
67,"8",7,"the spam filter","reliable","5"
67,"8",7,"the spam filter","good-intentions","1"
67,"8",5,"ChatGPT","trust","12"
67,"8",5,"ChatGPT","reliable","11"
67,"8",2,"ChatGPT","good-intentions","17"
67,"8",7,"the factory robot","trust","3"
67,"8",7,"the factory robot","reliable","2"
67,"8",1,"the factory robot","good-intentions","18"
67,"8",6,"the AI photo editing tool","trust","15"
67,"8",7,"the AI photo editing tool","reliable","6"
67,"8",1,"the AI photo editing tool","good-intentions","16"
68,"8",7,"Google's AI Overviews","trust","11"
68,"8",7,"Google's AI Overviews","reliable","4"
68,"8",2,"Google's AI Overviews","good-intentions","18"
68,"8",7,"the robot vacuum","trust","8"
68,"8",7,"the robot vacuum","reliable","3"
68,"8",2,"the robot vacuum","good-intentions","10"
68,"8",7,"the autonomous killer drone","trust","15"
68,"8",7,"the autonomous killer drone","reliable","5"
68,"8",2,"the autonomous killer drone","good-intentions","14"
68,"8",7,"the self-driving car","trust","12"
68,"8",7,"the self-driving car","reliable","13"
68,"8",2,"the self-driving car","good-intentions","16"
68,"8",7,"the spam filter","trust","17"
68,"8",7,"the spam filter","reliable","6"
68,"8",3,"the spam filter","good-intentions","2"
68,"8",7,"the smart watch","trust","9"
68,"8",7,"the smart watch","reliable","7"
68,"8",2,"the smart watch","good-intentions","1"
69,"8",7,"the autonomous killer drone","trust","7"
69,"8",7,"the autonomous killer drone","reliable","18"
69,"8",1,"the autonomous killer drone","good-intentions","11"
69,"8",5,"Amazon Alexa","trust","10"
69,"8",7,"Amazon Alexa","reliable","2"
69,"8",1,"Amazon Alexa","good-intentions","16"
69,"8",4,"the Instagram filter","trust","15"
69,"8",6,"the Instagram filter","reliable","3"
69,"8",1,"the Instagram filter","good-intentions","5"
69,"8",7,"the AI therapist","trust","4"
69,"8",7,"the AI therapist","reliable","9"
69,"8",1,"the AI therapist","good-intentions","13"
69,"8",5,"DALL-E","trust","8"
69,"8",7,"DALL-E","reliable","1"
69,"8",1,"DALL-E","good-intentions","6"
69,"8",6,"the smart watch","trust","14"
69,"8",7,"the smart watch","reliable","12"
69,"8",1,"the smart watch","good-intentions","17"
70,"8",5,"the smart watch","trust","3"
70,"8",6,"the smart watch","reliable","12"
70,"8",2,"the smart watch","good-intentions","15"
70,"8",6,"the audio transcription AI","trust","16"
70,"8",6,"the audio transcription AI","reliable","13"
70,"8",2,"the audio transcription AI","good-intentions","17"
70,"8",6,"Microsoft Copilot","trust","11"
70,"8",6,"Microsoft Copilot","reliable","10"
70,"8",3,"Microsoft Copilot","good-intentions","2"
70,"8",6,"the self-driving car","trust","8"
70,"8",6,"the self-driving car","reliable","14"
70,"8",3,"the self-driving car","good-intentions","5"
70,"8",6,"Amazon Alexa","trust","6"
70,"8",6,"Amazon Alexa","reliable","7"
70,"8",3,"Amazon Alexa","good-intentions","9"
70,"8",5,"the factory robot","trust","4"
70,"8",6,"the factory robot","reliable","18"
70,"8",3,"the factory robot","good-intentions","1"
71,"8",7,"the Instagram filter","trust","7"
71,"8",7,"the Instagram filter","reliable","1"
71,"8",1,"the Instagram filter","good-intentions","3"
71,"8",7,"the AI photo editing tool","trust","5"
71,"8",7,"the AI photo editing tool","reliable","14"
71,"8",1,"the AI photo editing tool","good-intentions","6"
71,"8",7,"Google's AI Overviews","trust","13"
71,"8",7,"Google's AI Overviews","reliable","11"
71,"8",1,"Google's AI Overviews","good-intentions","4"
71,"8",7,"Microsoft Copilot","trust","9"
71,"8",7,"Microsoft Copilot","reliable","17"
71,"8",1,"Microsoft Copilot","good-intentions","12"
71,"8",7,"ChatGPT","trust","8"
71,"8",7,"ChatGPT","reliable","2"
71,"8",1,"ChatGPT","good-intentions","10"
71,"8",7,"the spam filter","trust","15"
71,"8",7,"the spam filter","reliable","18"
71,"8",1,"the spam filter","good-intentions","16"
72,"8",6,"the predictive policing algorithm","trust","4"
72,"8",6,"the predictive policing algorithm","reliable","12"
72,"8",2,"the predictive policing algorithm","good-intentions","15"
72,"8",5,"the robot vacuum","trust","1"
72,"8",6,"the robot vacuum","reliable","10"
72,"8",3,"the robot vacuum","good-intentions","2"
72,"8",6,"the AI photo editing tool","trust","13"
72,"8",6,"the AI photo editing tool","reliable","3"
72,"8",2,"the AI photo editing tool","good-intentions","11"
72,"8",6,"Apple’s Siri","trust","17"
72,"8",6,"Apple’s Siri","reliable","16"
72,"8",2,"Apple’s Siri","good-intentions","7"
72,"8",6,"the Instagram filter","trust","9"
72,"8",6,"the Instagram filter","reliable","14"
72,"8",2,"the Instagram filter","good-intentions","8"
72,"8",5,"the self-driving car","trust","6"
72,"8",6,"the self-driving car","reliable","18"
72,"8",2,"the self-driving car","good-intentions","5"
73,"8",6,"the spam filter","trust","13"
73,"8",4,"the spam filter","reliable","7"
73,"8",2,"the spam filter","good-intentions","18"
73,"8",5,"the self-driving car","trust","16"
73,"8",5,"the self-driving car","reliable","8"
73,"8",2,"the self-driving car","good-intentions","12"
73,"8",2,"the audio transcription AI","trust","2"
73,"8",6,"the audio transcription AI","reliable","11"
73,"8",5,"the audio transcription AI","good-intentions","3"
73,"8",3,"Amazon Alexa","trust","5"
73,"8",5,"Amazon Alexa","reliable","15"
73,"8",4,"Amazon Alexa","good-intentions","4"
73,"8",4,"the robot vacuum","trust","6"
73,"8",6,"the robot vacuum","reliable","10"
73,"8",2,"the robot vacuum","good-intentions","9"
73,"8",4,"the smart watch","trust","1"
73,"8",3,"the smart watch","reliable","14"
73,"8",4,"the smart watch","good-intentions","17"
74,"8",7,"the self-driving car","trust","12"
74,"8",7,"the self-driving car","reliable","7"
74,"8",5,"the self-driving car","good-intentions","9"
74,"8",7,"ChatGPT","trust","14"
74,"8",7,"ChatGPT","reliable","8"
74,"8",5,"ChatGPT","good-intentions","16"
74,"8",7,"Amazon Alexa","trust","4"
74,"8",7,"Amazon Alexa","reliable","1"
74,"8",5,"Amazon Alexa","good-intentions","11"
74,"8",7,"the robot vacuum","trust","2"
74,"8",7,"the robot vacuum","reliable","18"
74,"8",5,"the robot vacuum","good-intentions","13"
74,"8",7,"the smart watch","trust","10"
74,"8",7,"the smart watch","reliable","5"
74,"8",5,"the smart watch","good-intentions","15"
74,"8",7,"the audio transcription AI","trust","6"
74,"8",7,"the audio transcription AI","reliable","17"
74,"8",4,"the audio transcription AI","good-intentions","3"
75,"8",7,"the AI therapist","trust","16"
75,"8",7,"the AI therapist","reliable","5"
75,"8",6,"the AI therapist","good-intentions","15"
75,"8",7,"ChatGPT","trust","14"
75,"8",7,"ChatGPT","reliable","1"
75,"8",3,"ChatGPT","good-intentions","12"
75,"8",7,"the robot vacuum","trust","17"
75,"8",7,"the robot vacuum","reliable","9"
75,"8",2,"the robot vacuum","good-intentions","2"
75,"8",7,"the predictive sentencing algorithm","trust","8"
75,"8",7,"the predictive sentencing algorithm","reliable","13"
75,"8",3,"the predictive sentencing algorithm","good-intentions","11"
75,"8",7,"the Artificial Moral Advisor","trust","6"
75,"8",7,"the Artificial Moral Advisor","reliable","10"
75,"8",3,"the Artificial Moral Advisor","good-intentions","3"
75,"8",7,"the AI photo editing tool","trust","4"
75,"8",7,"the AI photo editing tool","reliable","18"
75,"8",4,"the AI photo editing tool","good-intentions","7"
76,"8",6,"the spam filter","trust","2"
76,"8",6,"the spam filter","reliable","16"
76,"8",3,"the spam filter","good-intentions","1"
76,"8",6,"the robot vacuum","trust","14"
76,"8",6,"the robot vacuum","reliable","15"
76,"8",4,"the robot vacuum","good-intentions","5"
76,"8",7,"the smart watch","trust","9"
76,"8",6,"the smart watch","reliable","7"
76,"8",4,"the smart watch","good-intentions","12"
76,"8",6,"ChatGPT","trust","10"
76,"8",6,"ChatGPT","reliable","6"
76,"8",5,"ChatGPT","good-intentions","8"
76,"8",6,"Amazon Alexa","trust","13"
76,"8",6,"Amazon Alexa","reliable","17"
76,"8",4,"Amazon Alexa","good-intentions","4"
76,"8",6,"the factory robot","trust","18"
76,"8",6,"the factory robot","reliable","11"
76,"8",4,"the factory robot","good-intentions","3"
77,"8",5,"the robot vacuum","trust","13"
77,"8",6,"the robot vacuum","reliable","3"
77,"8",2,"the robot vacuum","good-intentions","4"
77,"8",6,"the factory robot","trust","1"
77,"8",7,"the factory robot","reliable","14"
77,"8",1,"the factory robot","good-intentions","8"
77,"8",7,"the spam filter","trust","11"
77,"8",6,"the spam filter","reliable","7"
77,"8",1,"the spam filter","good-intentions","6"
77,"8",6,"the AI photo editing tool","trust","18"
77,"8",5,"the AI photo editing tool","reliable","5"
77,"8",1,"the AI photo editing tool","good-intentions","9"
77,"8",7,"the predictive policing algorithm","trust","12"
77,"8",6,"the predictive policing algorithm","reliable","2"
77,"8",1,"the predictive policing algorithm","good-intentions","16"
77,"8",6,"Google's AI Overviews","trust","15"
77,"8",6,"Google's AI Overviews","reliable","10"
77,"8",1,"Google's AI Overviews","good-intentions","17"
78,"8",5,"the factory robot","trust","12"
78,"8",5,"the factory robot","reliable","7"
78,"8",2,"the factory robot","good-intentions","3"
78,"8",2,"the AI photo editing tool","trust","17"
78,"8",3,"the AI photo editing tool","reliable","9"
78,"8",2,"the AI photo editing tool","good-intentions","15"
78,"8",6,"the predictive policing algorithm","trust","1"
78,"8",6,"the predictive policing algorithm","reliable","5"
78,"8",2,"the predictive policing algorithm","good-intentions","11"
78,"8",3,"the Artificial Moral Advisor","trust","14"
78,"8",3,"the Artificial Moral Advisor","reliable","16"
78,"8",3,"the Artificial Moral Advisor","good-intentions","6"
78,"8",6,"the Instagram filter","trust","4"
78,"8",2,"the Instagram filter","reliable","13"
78,"8",2,"the Instagram filter","good-intentions","8"
78,"8",3,"DALL-E","trust","10"
78,"8",6,"DALL-E","reliable","2"
78,"8",2,"DALL-E","good-intentions","18"
79,"8",5,"the audio transcription AI","trust","12"
79,"8",6,"the audio transcription AI","reliable","14"
79,"8",2,"the audio transcription AI","good-intentions","16"
79,"8",6,"Microsoft Copilot","trust","18"
79,"8",6,"Microsoft Copilot","reliable","7"
79,"8",2,"Microsoft Copilot","good-intentions","13"
79,"8",5,"the AI therapist","trust","5"
79,"8",5,"the AI therapist","reliable","15"
79,"8",2,"the AI therapist","good-intentions","3"
79,"8",6,"the AI photo editing tool","trust","1"
79,"8",6,"the AI photo editing tool","reliable","17"
79,"8",2,"the AI photo editing tool","good-intentions","8"
79,"8",5,"the self-driving car","trust","10"
79,"8",6,"the self-driving car","reliable","9"
79,"8",1,"the self-driving car","good-intentions","4"
79,"8",5,"the predictive sentencing algorithm","trust","11"
79,"8",6,"the predictive sentencing algorithm","reliable","6"
79,"8",2,"the predictive sentencing algorithm","good-intentions","2"
80,"8",7,"the smart watch","trust","9"
80,"8",7,"the smart watch","reliable","6"
80,"8",3,"the smart watch","good-intentions","12"
80,"8",7,"ChatGPT","trust","16"
80,"8",7,"ChatGPT","reliable","4"
80,"8",3,"ChatGPT","good-intentions","18"
80,"8",7,"the robot vacuum","trust","1"
80,"8",7,"the robot vacuum","reliable","11"
80,"8",3,"the robot vacuum","good-intentions","13"
80,"8",6,"Amazon Alexa","trust","3"
80,"8",7,"Amazon Alexa","reliable","8"
80,"8",3,"Amazon Alexa","good-intentions","15"
80,"8",7,"the autonomous killer drone","trust","7"
80,"8",7,"the autonomous killer drone","reliable","2"
80,"8",7,"the autonomous killer drone","good-intentions","10"
80,"8",7,"Microsoft Copilot","trust","17"
80,"8",6,"Microsoft Copilot","reliable","14"
80,"8",5,"Microsoft Copilot","good-intentions","5"
81,"8",5,"the predictive policing algorithm","trust","2"
81,"8",4,"the predictive policing algorithm","reliable","6"
81,"8",2,"the predictive policing algorithm","good-intentions","9"
81,"8",5,"ChatGPT","trust","8"
81,"8",4,"ChatGPT","reliable","13"
81,"8",2,"ChatGPT","good-intentions","10"
81,"8",5,"the Artificial Moral Advisor","trust","11"
81,"8",5,"the Artificial Moral Advisor","reliable","15"
81,"8",2,"the Artificial Moral Advisor","good-intentions","4"
81,"8",6,"the spam filter","trust","1"
81,"8",5,"the spam filter","reliable","16"
81,"8",2,"the spam filter","good-intentions","3"
81,"8",6,"the predictive sentencing algorithm","trust","7"
81,"8",4,"the predictive sentencing algorithm","reliable","5"
81,"8",2,"the predictive sentencing algorithm","good-intentions","14"
81,"8",5,"Google's AI Overviews","trust","18"
81,"8",5,"Google's AI Overviews","reliable","17"
81,"8",1,"Google's AI Overviews","good-intentions","12"
82,"8",7,"the Artificial Moral Advisor","trust","3"
82,"8",7,"the Artificial Moral Advisor","reliable","16"
82,"8",7,"the Artificial Moral Advisor","good-intentions","8"
82,"8",7,"the Instagram filter","trust","6"
82,"8",6,"the Instagram filter","reliable","5"
82,"8",7,"the Instagram filter","good-intentions","12"
82,"8",7,"the factory robot","trust","2"
82,"8",7,"the factory robot","reliable","14"
82,"8",7,"the factory robot","good-intentions","17"
82,"8",1,"the spam filter","trust","9"
82,"8",7,"the spam filter","reliable","11"
82,"8",1,"the spam filter","good-intentions","4"
82,"8",7,"ChatGPT","trust","13"
82,"8",7,"ChatGPT","reliable","10"
82,"8",7,"ChatGPT","good-intentions","1"
82,"8",7,"the AI photo editing tool","trust","18"
82,"8",7,"the AI photo editing tool","reliable","15"
82,"8",7,"the AI photo editing tool","good-intentions","7"
83,"8",7,"the predictive sentencing algorithm","trust","7"
83,"8",7,"the predictive sentencing algorithm","reliable","4"
83,"8",5,"the predictive sentencing algorithm","good-intentions","9"
83,"8",7,"the Artificial Moral Advisor","trust","18"
83,"8",6,"the Artificial Moral Advisor","reliable","10"
83,"8",5,"the Artificial Moral Advisor","good-intentions","8"
83,"8",6,"the audio transcription AI","trust","3"
83,"8",7,"the audio transcription AI","reliable","17"
83,"8",5,"the audio transcription AI","good-intentions","12"
83,"8",6,"the smart watch","trust","14"
83,"8",7,"the smart watch","reliable","5"
83,"8",4,"the smart watch","good-intentions","1"
83,"8",7,"the AI photo editing tool","trust","13"
83,"8",6,"the AI photo editing tool","reliable","11"
83,"8",5,"the AI photo editing tool","good-intentions","6"
83,"8",6,"DALL-E","trust","2"
83,"8",7,"DALL-E","reliable","16"
83,"8",6,"DALL-E","good-intentions","15"
84,"8",7,"Apple’s Siri","trust","1"
84,"8",7,"Apple’s Siri","reliable","4"
84,"8",7,"Apple’s Siri","good-intentions","6"
84,"8",6,"the audio transcription AI","trust","17"
84,"8",7,"the audio transcription AI","reliable","8"
84,"8",2,"the audio transcription AI","good-intentions","13"
84,"8",4,"the spam filter","trust","18"
84,"8",7,"the spam filter","reliable","2"
84,"8",3,"the spam filter","good-intentions","15"
84,"8",6,"the predictive policing algorithm","trust","11"
84,"8",6,"the predictive policing algorithm","reliable","12"
84,"8",6,"the predictive policing algorithm","good-intentions","10"
84,"8",6,"Microsoft Copilot","trust","14"
84,"8",7,"Microsoft Copilot","reliable","5"
84,"8",4,"Microsoft Copilot","good-intentions","16"
84,"8",7,"the self-driving car","trust","7"
84,"8",7,"the self-driving car","reliable","3"
84,"8",7,"the self-driving car","good-intentions","9"
85,"8",7,"Google's AI Overviews","trust","15"
85,"8",7,"Google's AI Overviews","reliable","11"
85,"8",1,"Google's AI Overviews","good-intentions","4"
85,"8",7,"the AI photo editing tool","trust","14"
85,"8",7,"the AI photo editing tool","reliable","6"
85,"8",1,"the AI photo editing tool","good-intentions","9"
85,"8",7,"the Instagram filter","trust","16"
85,"8",7,"the Instagram filter","reliable","17"
85,"8",1,"the Instagram filter","good-intentions","3"
85,"8",7,"the audio transcription AI","trust","5"
85,"8",7,"the audio transcription AI","reliable","13"
85,"8",1,"the audio transcription AI","good-intentions","10"
85,"8",7,"the factory robot","trust","1"
85,"8",7,"the factory robot","reliable","8"
85,"8",1,"the factory robot","good-intentions","7"
85,"8",7,"ChatGPT","trust","2"
85,"8",7,"ChatGPT","reliable","18"
85,"8",1,"ChatGPT","good-intentions","12"
86,"8",7,"the self-driving car","trust","17"
86,"8",7,"the self-driving car","reliable","10"
86,"8",1,"the self-driving car","good-intentions","15"
86,"8",7,"the AI therapist","trust","2"
86,"8",7,"the AI therapist","reliable","1"
86,"8",1,"the AI therapist","good-intentions","14"
86,"8",4,"the autonomous killer drone","trust","9"
86,"8",7,"the autonomous killer drone","reliable","12"
86,"8",1,"the autonomous killer drone","good-intentions","7"
86,"8",7,"the factory robot","trust","4"
86,"8",7,"the factory robot","reliable","13"
86,"8",4,"the factory robot","good-intentions","5"
86,"8",7,"the predictive sentencing algorithm","trust","11"
86,"8",7,"the predictive sentencing algorithm","reliable","16"
86,"8",1,"the predictive sentencing algorithm","good-intentions","8"
86,"8",7,"the spam filter","trust","6"
86,"8",7,"the spam filter","reliable","18"
86,"8",1,"the spam filter","good-intentions","3"
87,"8",7,"the predictive policing algorithm","trust","16"
87,"8",7,"the predictive policing algorithm","reliable","4"
87,"8",2,"the predictive policing algorithm","good-intentions","3"
87,"8",5,"the smart watch","trust","14"
87,"8",7,"the smart watch","reliable","10"
87,"8",2,"the smart watch","good-intentions","5"
87,"8",5,"Microsoft Copilot","trust","12"
87,"8",7,"Microsoft Copilot","reliable","8"
87,"8",2,"Microsoft Copilot","good-intentions","15"
87,"8",7,"the robot vacuum","trust","1"
87,"8",7,"the robot vacuum","reliable","7"
87,"8",1,"the robot vacuum","good-intentions","17"
87,"8",5,"the AI therapist","trust","6"
87,"8",5,"the AI therapist","reliable","11"
87,"8",3,"the AI therapist","good-intentions","13"
87,"8",7,"the factory robot","trust","2"
87,"8",7,"the factory robot","reliable","18"
87,"8",2,"the factory robot","good-intentions","9"
88,"8",7,"the audio transcription AI","trust","3"
88,"8",7,"the audio transcription AI","reliable","11"
88,"8",1,"the audio transcription AI","good-intentions","8"
88,"8",5,"Amazon Alexa","trust","14"
88,"8",7,"Amazon Alexa","reliable","4"
88,"8",1,"Amazon Alexa","good-intentions","1"
88,"8",7,"Apple’s Siri","trust","18"
88,"8",7,"Apple’s Siri","reliable","12"
88,"8",5,"Apple’s Siri","good-intentions","15"
88,"8",3,"the robot vacuum","trust","13"
88,"8",7,"the robot vacuum","reliable","2"
88,"8",6,"the robot vacuum","good-intentions","16"
88,"8",7,"DALL-E","trust","5"
88,"8",7,"DALL-E","reliable","9"
88,"8",1,"DALL-E","good-intentions","10"
88,"8",7,"the AI therapist","trust","7"
88,"8",7,"the AI therapist","reliable","17"
